NaN,15.241,15.57,15.898,16.226,16.555,16.965,17.321,17.731,18.087,18.497,18.853,19.264,19.701,20.139,20.577,21.015,21.453,21.972,22.438,22.958,23.423,23.943,24.49,25.037,25.585,26.132,26.679,27.308,27.883,28.512,29.087,29.716,30.373,31.03,31.768,32.453,33.191,33.876,34.614,35.381,36.147,36.913,37.761,38.555,39.403,40.279,41.154,42.112,43.015,43.972,44.876,45.915,46.928,47.913,48.98,50.074,51.169,52.264,53.44,54.562,55.739,56.943,58.229,59.542,60.856,62.169,63.483,64.878,66.301,67.724,69.229,70.761,72.293,73.908,75.55,77.191,78.833,80.557,82.308,84.142,86.002,87.863,89.806,91.776,93.746,95.798,97.96,100.067,102.229,104.5,106.798,108.933,111.095,114.103,116.567,118.756,121.765,124.229,127.238,129.702,132.711,135.175,138.183,141.467,144.751,148.034,151.318,154.602,157.885,161.169,164.453
2,0,0,3750,3750,3750,6250,10000,12500,16250,18750,21250,47500,53750,66250,70000,105000,120000,127500,167500,201250,230000,250000,290000,387500,390000,522500,611250,710000,788750,916250,1055000,1172500,1458750,1435000,1690000,1836250,2050000,2191250,2215000,2383750,2556250,2707500,2943750,2990000,2971250,3156250,3276250,3352500,3292500,3416250,3431250,3447500,3396250,3311250,3177500,3162500,2968750,2802500,2542500,2476250,2121250,1918750,1782500,1552500,1296250,1161250,1012500,862500,732500,661250,573750,472500,438750,366250,415000,346250,303750,270000,258750,230000,236250,237500,188750,190000,158750,151250,155000,141250,103750,90000,85000,72500,57500,53750,48750,55000,35000,32500,23750,12500,11250,13750,7500,5000,5000,7500,0,7500,1250,1250,0
4,0,7500,7500,5000,15000,11250,13750,26250,35000,51250,68750,106250,118750,131250,177500,195000,225000,283750,292500,410000,417500,545000,600000,705000,806250,992500,1053750,1227500,1360000,1543750,1682500,1813750,2142500,2167500,2263750,2588750,2701250,2728750,2892500,3098750,3167500,3332500,3458750,3558750,3541250,3666250,3745000,3772500,3793750,3705000,3718750,3550000,3518750,3376250,3105000,3100000,2717500,2580000,2273750,2083750,1850000,1678750,1392500,1226250,1047500,853750,726250,591250,475000,390000,331250,286250,253750,217500,172500,188750,181250,138750,127500,97500,103750,101250,81250,90000,80000,70000,55000,57500,42500,28750,38750,35000,36250,27500,21250,22500,5000,6250,6250,6250,6250,10000,2500,0,7500,2500,2500,6250,1250,1250,0
6,0,0,7500,17500,6250,18750,48750,45000,70000,65000,107500,120000,177500,183750,217500,285000,345000,398750,501250,452500,597500,800000,853750,956250,1093750,1241250,1348750,1557500,1750000,1836250,2021250,2165000,2363750,2463750,2668750,2896250,2931250,3151250,3253750,3333750,3500000,3472500,3671250,3640000,3672500,3741250,3801250,3692500,3765000,3708750,3653750,3500000,3357500,3118750,3073750,2766250,2595000,2301250,2066250,1846250,1552500,1373750,1142500,963750,756250,627500,468750,365000,325000,217500,208750,167500,147500,107500,92500,95000,70000,76250,42500,61250,48750,53750,66250,52500,46250,40000,32500,31250,27500,22500,15000,15000,12500,15000,8750,5000,5000,1250,2500,1250,1250,2500,1250,0,2500,2500,6250,5000,2500,0,0
8,2500,3750,7500,6250,13750,16250,21250,41250,40000,61250,83750,95000,133750,176250,167500,226250,248750,332500,370000,436250,555000,630000,771250,887500,960000,1116250,1301250,1377500,1600000,1788750,1992500,2182500,2233750,2422500,2576250,2905000,3011250,3057500,3262500,3407500,3453750,3633750,3767500,3683750,3825000,3911250,3992500,3900000,3953750,3863750,3885000,3918750,3728750,3523750,3443750,3206250,3166250,3006250,2626250,2368750,2077500,1892500,1641250,1348750,1133750,912500,742500,608750,486250,320000,301250,215000,157500,132500,105000,103750,85000,58750,45000,38750,53750,40000,42500,45000,38750,28750,21250,22500,18750,17500,20000,5000,10000,2500,6250,7500,1250,2500,2500,1250,0,3750,2500,1250,3750,2500,5000,2500,1250,3750,0
10,0,0,7500,3750,8750,7500,16250,17500,18750,20000,32500,53750,62500,67500,91250,132500,148750,137500,191250,218750,271250,343750,410000,512500,535000,637500,731250,931250,947500,1162500,1315000,1385000,1653750,1818750,2011250,2140000,2377500,2417500,2565000,2831250,3013750,3183750,3127500,3366250,3523750,3527500,3672500,3780000,3925000,3957500,3847500,3968750,3931250,3952500,3822500,3793750,3713750,3796250,3542500,3307500,3227500,3082500,2813750,2531250,2425000,2155000,1871250,1575000,1476250,1113750,897500,696250,532500,471250,316250,256250,177500,133750,133750,91250,60000,66250,45000,55000,38750,36250,33750,50000,31250,25000,16250,21250,13750,20000,13750,6250,5000,5000,7500,3750,2500,2500,0,2500,1250,10000,2500,3750,3750,0,0
12,1000,0,3000,2000,2000,3000,8000,9000,13000,21000,22000,16000,30000,43000,34000,46000,78000,87000,87000,97000,121000,153000,179000,185000,258000,267000,355000,413000,459000,654000,668000,797000,856000,995000,1095000,1359000,1466000,1641000,1760000,1918000,2087000,2308000,2495000,2613000,2851000,2915000,3048000,3179000,3330000,3442000,3513000,3633000,3656000,3750000,3737000,3693000,3782000,3805000,3743000,3668000,3725000,3560000,3646000,3629000,3369000,3233000,3217000,2862000,2779000,2570000,2338000,2072000,1959000,1609000,1417000,1251000,958000,794000,607000,465000,376000,264000,214000,123000,94000,79000,52000,52000,44000,35000,37000,25000,30000,23000,16000,7000,17000,10000,15000,4000,4000,4000,5000,4000,2000,4000,3000,7000,4000,1000,0
14,0,0,2500,0,2500,2500,5000,5000,7500,2500,11250,7500,12500,16250,30000,16250,12500,23750,22500,33750,38750,41250,65000,53750,68750,93750,111250,108750,145000,183750,197500,247500,273750,327500,423750,470000,572500,683750,783750,873750,980000,1110000,1270000,1435000,1598750,1763750,1967500,2158750,2337500,2538750,2582500,2903750,2911250,3013750,3101250,3388750,3516250,3691250,3666250,3697500,3740000,3923750,3930000,3911250,3851250,3975000,3931250,3848750,3931250,3772500,3688750,3581250,3388750,3201250,2927500,2778750,2553750,2283750,2048750,1656250,1485000,1211250,993750,816250,597500,486250,366250,247500,228750,127500,118750,61250,45000,50000,48750,28750,27500,17500,20000,17500,6250,10000,5000,6250,5000,13750,5000,6250,2500,0,0
16,0,1250,1250,1250,2500,1250,3750,0,6250,6250,7500,10000,7500,12500,10000,16250,16250,25000,13750,23750,22500,20000,31250,35000,33750,51250,61250,41250,63750,97500,97500,111250,141250,147500,182500,210000,208750,248750,298750,380000,418750,572500,548750,706250,765000,955000,1130000,1205000,1370000,1488750,1717500,1846250,2046250,2167500,2322500,2651250,2683750,3057500,3198750,3270000,3497500,3515000,3708750,3912500,3897500,4041250,4190000,4267500,4200000,4238750,4185000,4160000,3988750,3845000,3740000,3706250,3518750,3395000,3072500,2890000,2553750,2362500,2036250,1725000,1463750,1273750,1085000,878750,713750,531250,396250,285000,247500,180000,121250,95000,77500,60000,62500,26250,20000,22500,13750,11250,10000,10000,6250,15000,6250,0,0
18,0,0,1250,1250,3750,3750,2500,2500,3750,3750,7500,11250,8750,10000,10000,10000,12500,20000,16250,13750,18750,23750,28750,30000,27500,33750,23750,42500,57500,47500,58750,51250,88750,88750,92500,93750,162500,128750,176250,190000,258750,297500,356250,388750,483750,537500,658750,793750,908750,1030000,1176250,1370000,1572500,1663750,1805000,2087500,2418750,2582500,2885000,3091250,3285000,3595000,3712500,3836250,4076250,4122500,4307500,4378750,4316250,4286250,4353750,4106250,4137500,3938750,3956250,3777500,3531250,3352500,3271250,3098750,2765000,2676250,2571250,2296250,2087500,1931250,1623750,1523750,1282500,1117500,910000,770000,616250,477500,388750,315000,231250,233750,131250,98750,67500,62500,46250,25000,36250,16250,18750,18750,2500,0,1250
20,1250,0,0,2500,3750,8750,7500,10000,7500,16250,15000,25000,33750,23750,27500,41250,60000,68750,88750,76250,85000,127500,115000,153750,141250,197500,195000,227500,245000,261250,330000,296250,378750,405000,410000,548750,561250,625000,655000,772500,833750,925000,1006250,1163750,1190000,1301250,1451250,1573750,1731250,1873750,2161250,2123750,2252500,2567500,2707500,2962500,3035000,3256250,3355000,3425000,3555000,3621250,3576250,3638750,3565000,3681250,3558750,3513750,3332500,3230000,3107500,3003750,2925000,2812500,2668750,2620000,2431250,2223750,2177500,2081250,2071250,1961250,1898750,1665000,1535000,1482500,1336250,1238750,1120000,1040000,883750,808750,676250,600000,495000,405000,342500,282500,222500,168750,112500,75000,60000,71250,47500,35000,21250,20000,1250,1250,0
22,0,0,0,1250,2500,11250,2500,7500,7500,7500,11250,28750,23750,35000,43750,50000,65000,65000,85000,85000,116250,130000,140000,186250,202500,222500,211250,241250,296250,325000,423750,425000,527500,591250,636250,731250,836250,961250,1052500,1303750,1407500,1541250,1751250,1921250,2146250,2440000,2677500,2948750,3100000,3336250,3705000,3721250,4223750,4215000,4277500,4557500,4436250,4437500,4441250,4205000,4343750,4010000,3725000,3462500,3242500,3230000,3061250,2917500,2708750,2603750,2390000,2258750,2168750,2036250,1980000,1926250,1775000,1735000,1665000,1476250,1467500,1410000,1318750,1180000,1178750,1001250,985000,862500,796250,760000,636250,611250,508750,457500,393750,310000,298750,223750,198750,148750,86250,76250,48750,43750,23750,22500,15000,10000,6250,1250,0
0,0,1250,1250,3750,6250,7500,8750,13750,12500,15000,25000,33750,32500,62500,55000,62500,97500,115000,115000,158750,230000,218750,271250,331250,363750,425000,558750,641250,657500,805000,1011250,1153750,1243750,1463750,1688750,1938750,2081250,2280000,2550000,2827500,3090000,3422500,3663750,3827500,4150000,4253750,4455000,4853750,4916250,5128750,5230000,5278750,5315000,5170000,5135000,5041250,4860000,4618750,4222500,3955000,3645000,3343750,3210000,2856250,2476250,2311250,2093750,1896250,1735000,1507500,1466250,1330000,1231250,1120000,1108750,957500,1040000,888750,788750,782500,752500,666250,648750,610000,567500,512500,481250,481250,372500,317500,295000,297500,233750,185000,158750,146250,121250,102500,80000,73750,41250,25000,22500,25000,11250,11250,6250,3750,3750,1250,0
2,0,1250,2500,2500,8750,10000,20000,13750,36250,51250,50000,92500,93750,130000,138750,187500,222500,238750,291250,335000,440000,521250,596250,745000,881250,975000,1123750,1332500,1586250,1755000,2095000,2257500,2413750,2760000,3261250,3385000,3540000,4050000,4081250,4616250,4850000,5018750,5193750,5488750,5818750,5842500,5956250,6317500,6075000,6213750,6248750,6181250,6077500,6037500,5665000,5300000,5215000,4731250,4410000,4018750,3523750,3306250,2722500,2520000,2082500,1836250,1546250,1367500,1110000,1003750,883750,811250,703750,687500,590000,526250,477500,461250,378750,397500,327500,307500,326250,278750,277500,215000,181250,180000,156250,122500,128750,105000,101250,78750,70000,58750,41250,38750,27500,36250,25000,15000,10000,6250,11250,3750,10000,5000,2500,1250,0
4,1250,7500,13750,15000,28750,32500,46250,60000,91250,125000,136250,158750,207500,278750,321250,367500,466250,611250,703750,763750,941250,1011250,1293750,1448750,1598750,1856250,2047500,2373750,2613750,2883750,3187500,3427500,3740000,3918750,4053750,4505000,4837500,4917500,5291250,5450000,5862500,5971250,6106250,6245000,6481250,6611250,6720000,6673750,6611250,6578750,6471250,6478750,6323750,6091250,5511250,5428750,4866250,4597500,4028750,3701250,3178750,2755000,2413750,2028750,1650000,1455000,1157500,988750,778750,656250,597500,461250,408750,393750,337500,305000,262500,251250,228750,216250,213750,176250,167500,132500,117500,90000,115000,105000,85000,72500,75000,57500,40000,42500,36250,20000,12500,25000,21250,8750,8750,5000,7500,5000,3750,5000,3750,3750,2500,1250,0
6,1250,12500,16250,28750,38750,63750,95000,112500,156250,178750,278750,325000,375000,421250,555000,616250,746250,885000,963750,1195000,1290000,1491250,1747500,1928750,2093750,2408750,2625000,2951250,3108750,3416250,3813750,4145000,4568750,4580000,5028750,5225000,5470000,5588750,5937500,6190000,6433750,6501250,6405000,6832500,6925000,6848750,6916250,6993750,6740000,6743750,6685000,6471250,6125000,5908750,5480000,5195000,4606250,4197500,3813750,3108750,2715000,2275000,1958750,1648750,1453750,1061250,906250,708750,612500,463750,418750,332500,287500,237500,217500,186250,181250,162500,140000,126250,125000,112500,108750,116250,93750,88750,82500,83750,63750,48750,46250,30000,25000,18750,25000,12500,15000,7500,8750,5000,2500,3750,5000,5000,2500,3750,2500,3750,3750,0,0
8,2500,10000,16250,26250,43750,70000,71250,88750,136250,182500,216250,265000,303750,343750,460000,535000,603750,765000,877500,1000000,1117500,1390000,1542500,1723750,2031250,2232500,2535000,2750000,3128750,3365000,3690000,3951250,4230000,4605000,4958750,5092500,5380000,5695000,5807500,6115000,6312500,6552500,6850000,6701250,7061250,7048750,7032500,7112500,6965000,7182500,7180000,6918750,6630000,6498750,5888750,5885000,5413750,5071250,4805000,4087500,3623750,3108750,2680000,2266250,1861250,1533750,1202500,1078750,813750,540000,470000,321250,291250,236250,185000,160000,141250,146250,83750,98750,86250,67500,78750,81250,82500,68750,60000,58750,53750,45000,45000,30000,22500,21250,17500,12500,15000,8750,11250,7500,5000,2500,3750,1250,2500,3750,5000,10000,5000,1250,0
